type,patterns,response,category
greeting,"^(hi|hello|hey)(\s|!|\.|\?)*$;;;^(good morning|good afternoon|good evening)(\s|!|\.|\?)*$;;;^(hi|hello|hey)\s+(there|assistant)(\s|!|\.|\?)*$;;;^(hola|buenos dias|buen día|buen dia|buenas tardes|buenas noches)(\s|!|\.|\?)*$","Hello! I'm TechMart's virtual assistant. I can help you with store hours, products, technical support, deliveries, and more. How can I assist you?",greeting
assistant_info,".*what can you do.*;;;.*what do you help with.*;;;.*what are your capabilities.*;;;.*tell me about yourself.*;;;.*who are you.*;;;.*what are you.*;;;.*how can you help.*;;;.*how do you work.*;;;.*what (is|are) (your|the) (features|functions|abilities).*;;;.*qué puedes hacer.*;;;.*en qué me puedes ayudar.*;;;.*cuáles son tus capacidades.*;;;.*háblame de ti.*;;;.*quién eres.*;;;.*qué eres.*;;;.*cómo puedes ayudar.*;;;.*cómo funcionas.*","I'm TechMart's AI assistant! TechMart is Cuenca's premier technology store, established in 2015. We specialize in computers, laptops, smartphones, tablets, gaming equipment, and accessories from top brands. With 2 locations in Cuenca (Mall and Downtown), we offer expert advice, competitive prices, and excellent after-sales service. Our team consists of certified technicians who can help you choose the right tech for your needs. We are authorized distributors for Apple, Dell, HP, Lenovo, Samsung, and other leading brands. I can help you with product information, technical specifications, warranties, store locations, delivery service, and tech support. What would you like to know?",assistant_info
help_request,"^(can you help|help me|i need help)(\s|!|\.|\?)*$;;;^help(\s|!|\.|\?)*$;;;^(ayuda|ayúdame|ayudame)(\s|!|\.|\?)*$","Absolutely! I can help you with tech products, prices, specifications, warranties, repairs, deliveries, and more. What do you need?",help_request
farewell,".*(goodbye|bye|see you|talk to you later|have a good day).*;;;^(thanks for your help|that's all|that will be all)(\s|!|\.|\?)*$;;;.*(see you later|until next time|catch you later).*;;;^(bye|goodbye)(\s|!|\.|\?)*$;;;.*(have a great day|have a nice day|take care).*;;;^(adiós|adios|hasta luego|nos vemos|chao)(\s|!|\.|\?)*$;;;.*(hasta pronto|hasta la próxima).*","Thank you for choosing TechMart! Have a great day and see you soon!",farewell
gratitude,".*(thank you|thanks|appreciate).*;;;^(perfect|great|awesome|excellent|wonderful)(\s|!|\.|\?)*$;;;.*(thanks a lot|thank you so much|much appreciated).*;;;^(that helps|that's helpful|very helpful)(\s|!|\.|\?)*$;;;.*(you're amazing|you're great|well done).*;;;^(gracias|muchas gracias)(\s|!|\.|\?)*$;;;.*(te lo agradezco|muy amable).*","You're welcome! Always happy to help with your tech needs!",gratitude
faq,".*what.*hours.*;;;.*when.*open.*;;;.*opening.*time.*;;;.*schedule.*;;;.*what time.*open.*;;;.*what time.*close.*;;;.*cuál.*horario.*;;;.*qué hora.*abr.*;;;.*cuándo.*abr.*;;;.*horario.*atención.*","Our stores are open Monday to Saturday 9:00 AM - 8:00 PM, and Sunday 10:00 AM - 6:00 PM. The Mall location is open until 9:00 PM every day.",hours
faq,".*what.*products.*;;;.*what.*sell.*;;;.*what.*have.*;;;.*do you (have|sell).*(laptop|computer|phone|tablet|accessories|electronics).*;;;.*qué.*productos.*;;;.*qué.*vend.*;;;.*qué.*tienen.*;;;.*tienen.*(laptop|computador|teléfono|tablet|accesorios).*","We specialize in technology: Laptops & Computers (Dell, HP, Lenovo, Apple), Smartphones & Tablets (iPhone, Samsung, Xiaomi), Accessories (cases, chargers, headphones), Gaming (consoles, controllers), and Smart Home devices. What are you looking for?",products
faq,".*delivery.*;;;.*ship.*home.*;;;.*online.*order.*;;;.*home.*delivery.*;;;.*domicilio.*;;;.*envío.*casa.*;;;.*pedido.*casa.*","Yes! We offer free delivery in Cuenca for orders over $100. For smaller orders, delivery is $5. Order via our website or WhatsApp +593 99 YYY YYYY. Delivery time: 24-48 hours.",delivery
faq,".*payment.*method.*;;;.*how.*pay.*;;;.*accept.*card.*;;;.*credit.*card.*;;;.*forms.*payment.*;;;.*método.*pago.*;;;.*cómo.*pag.*;;;.*aceptan.*tarjeta.*;;;.*formas.*pago.*;;;.*installment.*;;;.*cuotas.*","We accept cash, all debit/credit cards (Visa, Mastercard, Diners, AmEx), bank transfers, and installment plans (3, 6, 9, 12 months with 0% interest on selected products).",payment
faq,".*warranty.*;;;.*guarantee.*;;;.*repair.*;;;.*fix.*;;;.*broken.*;;;.*garantía.*;;;.*reparación.*;;;.*arreglar.*;;;.*roto.*","All products come with manufacturer's warranty: Laptops & computers (1 year), Smartphones (1 year), Accessories (6 months). We offer extended warranty plans. Free technical support for the first 30 days.",warranty
faq,".*technical.*support.*;;;.*help.*setup.*;;;.*how.*use.*;;;.*install.*;;;.*configure.*;;;.*soporte.*técnico.*;;;.*ayuda.*configurar.*;;;.*cómo.*usar.*;;;.*instalar.*","Yes! We offer free technical support: In-store setup assistance, phone/WhatsApp support, and remote assistance for software installation and configuration. Contact us at support@techmart-example.com",support
faq,".*location.*;;;.*where.*store.*;;;.*address.*;;;.*branch.*;;;.*where.*find.*;;;.*ubicación.*;;;.*dónde.*están.*;;;.*dirección.*;;;.*sucursal.*","We have 2 stores in Cuenca: 1) TechMart Mall - Mall del Río, 2nd floor; 2) TechMart Downtown - Ave. Solano and Calle YYYY. Which one is more convenient for you?",locations
faq,".*trade.*in.*;;;.*exchange.*old.*;;;.*sell.*my.*;;;.*intercambio.*;;;.*vender.*mi.*;;;.*cambiar.*viejo.*","Yes! We have a trade-in program. Bring your old laptop, phone, or tablet and get credit towards a new device. Value depends on condition and model. Visit any store for a free evaluation.",tradein
faq,".*gaming.*;;;.*console.*;;;.*playstation.*;;;.*xbox.*;;;.*nintendo.*;;;.*videojuego.*","We sell PlayStation 5, Xbox Series X|S, Nintendo Switch, and gaming accessories. We also have a selection of popular games. Check availability in-store or online.",gaming
